Column1,date,title,text,day,month,year,link
1727, 20 mars 2015 kl. 14.21,NULL,"Visserligen finns Södra Biskopsgården med på Rikskriminalpolisens lista över 55 områden där lokala kriminella nätverk anses ha negativ påverkan på lokalsamhället. Förrän nu då. Det finns sedan denna vecka anledning att varna för att oskyldiga kan komma i vägen, menar numera polisens presstalesperson Björ Blixter, som under det tjugotal år som Göteborgs gängkrig pågått har ägnat stor ansträngning åt att tona ner just den risken. De inblandade har haft skolans och socialtjänstens ögon på sig sedan de var små, och det senaste decenniet också polisens. Självklart är de som höll i vapnen ansvariga för att två personer dog och åtta skadades på restaurang Vår krog och bar. Men vem bär ansvaret för allt som under två årtionden föregått det senaste i en lång rad av våldsbrott? Och vem bär ansvaret för att det fortfarande pågår? Under torsdagens presskonferens sa  Hulthén är sedan 2008 högsta politiker i en av Europas mest segregerade städer. Hon har varit kommunalråd sedan 2003. Men är hon ansvarig? Men för Hulthén är det lättare att skramla med vapen än att prata om människor. De förra har hon inget ansvar för, men de senare hamnar på hennes bord. Men när krutröken lagt sig hamnar kommunalrådets funderingar i byrålådan tills nästa gång kulorna viner genom luften. Däremellan växer utanförskapet explosionsartat. Men då hörs aldrig smällarna på andra sidan Göta älv. För mellan skotten är Biskopsgården politikens no go-area. ",20,mars,2015,https://www.aftonbladet.se/debatt/a/gPJXzL/biskopsgarden--en-politisk-no-go-area
1728, 29 mars 2015 kl. 08.55,NULL,"Vittnen berättar om skräcken inne på restaurangen Ögonvittnet berättar att han var på restaurangen Vår krog med bekanta, de skulle titta på fotbollen. De satt vid ett bord. Ett tjugotal andra restauranggäster satt och åt. Han vände huvudet mot dörren för att se vad som hände där ute. Då såg han två beväpnade män komma in. Vittnet minns bäst mannen som sköt mot bordet där han och hans bekanta satt. Han klarade sig oskadd, men har mått dåligt sedan den kvällen och har svårt att sova. Gärningsmännen fortsatte meja ner kroggästerna. En tredje man som stod nära vittnet blev också skjuten. Ett annat vittne, Irene, som också befann sig på restaurangen, har tidigare berättat för Aftonbladet hur två beväpnade män med dödskallemasker kom in och började skjuta vilt. Det var förra onsdagen strax efter klockan 22 som de maskerade gärningsmännen stormade den fullsatta restaurangen Vår krog på Hisingen i  Göteborg Två män, 20 och 25 år gamla, miste livet. Ytterligare åtta skadades. I söndags häktades tre män, 18, 20 och 27 år, misstänkta för synnerligen grovt vapenbrott. Men han säger att ett stort antal poliser arbetar med fallet och att förhören fortsätter. Aftonbladet skrev tidigare att mördarna, enligt en källa med insyn i utredningen, fångats på film när de sköt, samt att polisen beslagtagit materialet. Övervakningskameror har dokumenterat hur gärningsmännen går in genom entrén iförda dödskallemasker och handskar, enligt källan. Båda är beväpnade med automatvapen. Aftonbladet har tagit del av bilder från övervakningsfilmen. På bilderna syns två maskerade personer när de går in genom restaurangens entré. De har svarta huvor och svartvita masker och automatvapen i händerna. En av dem bär en gul polisväst. En källa har tidigare uppgett för Aftonbladet att en av gärningsmännen filmat med sin mobil inne på restaurangen efter att tömt magasinet. ",29,mars,2015,https://www.aftonbladet.se/nyheter/a/4dxjda/ogonvittne-fattar-inte-att-jag-lever
1729, 16 maj 2015 kl. 10.09,Anställd på Skatteverket  misstänks för bedrägerier,"Fångades på hemlig film med rånarluva på sig Det var i april förra året som mannen, som är anställd på  Mannen ska, enligt åtalet, ha manipulerat personernas inkomstuppgifter med hjälp av en kollegas inloggningsuppgifter. Han ska sedan ha angett de betalt in för mycket i skatt under flera års tid. Kvartetten ska därför ha fått tillbaka miljontals kronor i skatteåterbäring - pengar som automatiskt satts in på konton som den misstänkte mannen haft tillgång till. Totalt har det handlat om omkring 4,5 miljoner kronor. Polisen kom mannen på spåren och använde sig av hemlig kameraövervakning. Man lyckades filma honom när han tog ut pengar från ett av de fyra personernas konto. Några dagar senare kunde han gripas i sin lägenhet. Smålandsposten De fyra personerna som fått sina uppgifter manipulerade bor inte längre i Sverige. Det är i nuläget oklart huruvida även någon av dem känt till bedragarens verksamhet med de är anhållna i sin frånvaro misstänkta för penningtvättsbrott. SVT Utöver filmen från polisens hemliga kameraövervakning så finns det flera saker som binder mannen till brottet. Bevisningen mot honom är omfattande. Bland annat har polisen kunnat beslagta bankkort och bankdosor som mannen misstänks ha använt och som man kan koppla till honom på olika sätt. Totalt misstänks han för elva fall av grovt bedrägeri alternativt grov trolöshet mot huvudman samt ett försök till grovt bedrägeri. ",16,maj,2015,https://www.aftonbladet.se/nyheter/a/kaBEOX/anstalld-pa-skatteverket-misstanks-for-bedragerier
1730, 15 mars 2015 kl. 14.08,NULL,"Helena, i dag 39, greps i september 2012 efter ett larm om skott från hennes lägenhet. I bostaden hittade polisen både vapen och  skelettdelar från människor När Helena  åtalades ett par månader senare sa Helena senare Domen överklagades av båda parter. Hovrätten fastställde domen gällande vapenbrott, men  friade henne På internet fortsatte dock anklagelserna att hagla. På nätforumet  polisanmälan om förtal och dataintrång Nu har hon också fått rätt mot en näthatare, skriver Göteborgs-Posten. Tillsammans med flera andra som är duktiga på datorer ska Helena ha identifierat en av dem som på Flashback skrivit en rad grovt kränkande saker om henne och dessutom antytt att hon kan vara delaktig i ett uppmärksammat brott. Mannen visade sig vara en 57-årig egenföretagare från Stockholmsområdet och Helena lämnade in materialet från sina efterforskningar till en åklagare. När denne beslutade att inte väcka åtal mot 57-åringen lämnade Helena i stället in en stämning till Attunda tingsrätt. Mannen, som inte dök upp vid förhandlingen, bestred hennes yrkande och hävdade att hans server blivit hackad, skriver tidningen. Han fälldes ändå. Enligt en tredskodom som meddelades i tingsrätten i slutet av februari ska 57-åringen betala 20 000 kronor i skadestånd till Helena, uppger GP. ",15,mars,2015,https://www.aftonbladet.se/nyheter/a/4dr67e/skelettkvinnan-vann-mot-nathatare
1731, 07 februari 2015 kl. 17.04,Dömd för brutalt mord på storebror,"Den 19-årige storebrodern  hittades död Hans 17-årige lillebror greps och åtalades för mordet samt för grovt vapenbrott. Han uppgav att han agerade för att försvara sin mor och småsyskon. I samband med  häktningen Påföljden bestämdes i stället till fyra års sluten ungdomsvård, utan möjligheter till villkorlig frigivning. Mordoffret, den äldre brodern, var sedan tidigare misstänkt för ett mord i Thailand 2012. Han hade då en flickvän från Thailand och när de var där och hälsade på blev det bråk med en 18-årig student som hon haft en relation med tidigare. Poliskällor uppgav då att studenten huggits med kniv flera gånger i ryggen. I förhören hävdade den nu mördade mannen att det  handlade om självförsvar Han greps och fråntogs sitt pass, men släpptes senare mot borgen. Då åkte hans far och lillebror från Sverige till Thailand. Men hjälp av lillebroderns pass lyckades 19-åringen fly via Malaysia till Sverige. När han lämnat landet gick fadern och 16-åringen därefter till svenska ambassaden och uppgav, enligt källor, att passet tappats bort. ",07,februari,2015,https://www.aftonbladet.se/nyheter/a/J1paRm/domd-for-brutalt-mord-pa-storebror
1732, 04 januari 2015 kl. 17.54,Misstänkt knivmördare förhördes,"Den misstänkte 51-åringen har förhörts. Det var på lördagseftermiddagen som 21-åringen och en 51-årig man började bråka med varandra i Tullinge. Enligt polisen verkar det vara en händelse i trafiken som är orsaken till mordet. Den misstänkte 51-åringen ska ha brutit mot högerregeln och svängt ut precis fram för 21-åringens bil. Han i sin tur började tuta och det ledde till att de två gick ur sina fordon och började bråka, skriver Aftonbladet. 21-åringen knivskars och fördes till sjukhus, men hans liv gick inte att rädda. Den 51-årige mannen åkte snabbt därifrån, men ringde senare till polisen och anmälde sig själv. Han är anhållen misstänkt för mord. 51-åringen har förhörts av polis, men hur han ställer sig till misstankarna vill polisen ännu inte säga. TT har sökt hans advokat. Att trafikbråk leder till mord är mycket ovanligt i Sverige, men det har inträffat. Till exempel 1999 då en 30-årig man knivskar en 44-årig man vid ett bråk i en bilkö på Hisingen i Göteborg. 44-åringen avled senare. ",04,januari,2015,https://www.aftonbladet.se/senastenytt/ttnyheter/inrikes/a/wE9zeG/misstankt-knivmordare-forhordes
1733, 04 december 2014 kl. 15.20,Make gripen för elva år gammalt mord,"Kvinnan hittades mördad i en lägenhet i mars 2003. Maken häktades snabbt för inblandning i mordet, men släpptes i brist på bevis. Då åkte han tillbaka till sitt hemland Kina. Några dagar senare hittades även grannen mördad, styckad och nergrävd under en balkong i området och misstankarna mot maken väcktes igen. Han har sedan dess varit häktad i sin frånvaro, Kina och Sverige har inga utlämningsavtal med varandra, och misstänkt för anstiftan till båda morden. Nu har mannen gripits av polis i England. En resa till London blev hans fall. Mannen kom till Sverige i tisdags. ",04,december,2014,https://www.aftonbladet.se/senastenytt/ttnyheter/inrikes/a/Mg9kKr/make-gripen-for-elva-ar-gammalt-mord
1734, 17 november 2014 kl. 18.16,17-åring friad från mordförsök,30-åringen befann sig i sin bil på Hisingen när han besköts med tolv skott i början av juni i år. Ett av skotten träffade honom i benet. En kompis till 17-åringen som åtalats för medhjälp till försök till mord frias också. ,17,november,2014,https://www.aftonbladet.se/senastenytt/ttnyheter/inrikes/a/A2x9Vx/17-aring-friad-fran-mordforsok
1735, 19 mars 2015 kl. 11.59,Risken för hämnd är stor,"Så sägs det än en gång att skjutningar på gator och torg numera är vardagsmat. Det är inte ett påstående som är helt taget ur luften, men om attacker som den på Hisingen hände i tid och otid så skulle inte tidningar, radio och tv släppa allt och rapportera om morden för allt vad tyget håller. Sverige är i själva verket relativt förskonat från hänsynslösa skjutningar av detta slag. Visst, vi har Mattias Flink och Stureplansmassakern, men de är undantag. Vi har inte drabbats av finska skolmassakrer eller en Breivik. I Sverige är skjutningar i allt väsentligt knutna till uppgörelser. Av allt att döma är nattens brott ännu ett exempel på det. Gangsters drar sig dock normal för att gå in på en krog, skjuta vilt omkring sig med automatvapen och skada eller döda personer som inte ens är inblandade i vad det nu är för konflikt. Hänsyn är inte grovt kriminella personers mest framträdande drag, men de brukar anse att attacker av detta slag kostar för mycket. Polisen i  Göteborg Sådant skapar irritation, vilket kan gynna utredarna. Vissa kan vara beredda att berätta vad de känner till för att få lugn och ro. Erfarenheten visar annars att den här typen av brott är svåra att lösa. De inblandade är ofta duktiga på att inte lämna spår efter sig och viljan att prata med polisen är bara obetydligt mindre än en politikers inför konstitutionsutskottet. Vad gör då polisen? Den tekniska undersökningen av brottsplatsen är viktig. Tomhylsor och andra spår kan i slutändan vara avgörande. Likaså förhör med vittnen, dörrknackning i området och undersökning av eventuell flyktbil. Minst lika viktig är den så kallade inre spaningen. Vilka kriminella är ute i det fria? Vilka strider pågår för närvarande? Biskopsgården har traditionellt en konflikt mellan två grupperingar om knarkhandel och gamla oförrätter. Kanske finns lösningen där. Att denna osedvanligt råa attack kan leda till en våldsspiral är allt annat än otänkbart. Vedergällning, hämnd, nya skjutningar. Vad ska samhället ta sig till? Polisen i Göteborg har lyckats tidigare. Under första halvåret 2014 drabbades staden av närmare 50 skottlossningar. Fyra personer dödades och 24 skadades. Efter en polisiär kraftsamling mot gängkriminaliteten upphörde skjutningarna nästan helt. Det krävdes hårt arbete och resurser, 100 poliser jobbade i treskift, men gav resultat. Den satsningen borde permanentas. Andra insatser borde studeras närmare. Ta till exempel Södertälje, där polisen efter flera års arbete lyckades slå sönder ett nätverk som ägnade sig åt mycket grov brottslighet.     Och politiker gör det politiker alltid gör då något hemskt har inträffat, Hårdare lagar! Skärp straffen! Lås in! Anneli Hulthén Jag har ingenting emot strängare paragrafer inom detta område. Redan det faktumet att vissa går runt beväpnade ökar riskerna för hyggligt folk, men en lagändring skulle endast få en marginell effekt. Lagen skärptes så sent som i höstas. Maxstraffet för grovt vapenbrott höjdes till fyra års fängelse och ett nytt brott, synnerligen grovt vapenbrott infördes med upp till sex års fängelse i straffskalan. Det hindrade inte nattens maktdemonstration. En hårdare attityd verkar säkerligen avskräckande på vissa och ger polisen ökad anledning att ta itu med just denna brottslighet, men leder knappast till att de grovt kriminella lämnar in sina automatgevär på närmaste polisstation och röker fredspipa. Politikerna bör ställa sig andra frågor. Bör tullen få utökade befogenheter? Är det rimligt att rusta ner kustbevakningen? Hur påverkas det förebyggande arbetet mot att ungdomar dras in i kriminalitet av utanförskap, av arbetslöshet och dåliga skolresultat och av att socialtjänst rustas ner? Alla samhällsproblem går inte att lösa med lagstiftning. Faktum är att få av dem blir lösta den vägen. ",19,mars,2015,https://www.aftonbladet.se/nyheter/kolumnister/a/3jVL9P/risken-for-hamnd-ar-stor
1736,NULL,NULL,NULL,NULL,NULL,NULL,https://www.aftonbladet.se/sportbladet/fotboll/a/kaBXzk/glenn-hysens-basta-tips-for-att-ma-gott
1737, 19 december 2014 kl. 12.59,Våldsmisstänkt försökte muta vakter,"I åtalet från Varbergs tingsrätt skriver åklagaren att han hotade henne och hennes familj till livet. Mannen tvingade kvinnan att åka med från Falkenberg till Göteborg där han, enligt åtalet, planerade att via kontakter ordna så att kvinnan mördades. Under färden riktade han en kniv mot henne och upprepade dödshoten. Mannen, som är i 45-årsåldern, åtalas för grovt olaga hot, försök till utpressning, olaga frihetsberövande och förberedelse till mord. Han misstänks också för mutbrott då han, enligt åtalet, vid flera tillfällen har försökt förmå häktesvakter att mot betalning släppa honom fri. ",19,december,2014,https://www.aftonbladet.se/senastenytt/ttnyheter/inrikes/a/8wX8pA/valdsmisstankt-forsokte-muta-vakter
1738, 07 maj 2015 kl. 13.09,NULL,"Den drygt 70 sidor tjocka rapporten från polisens nationella operativa avdelning, presenterad i dagarna, är ingen munter läsning. Den organiserade brottsligheten blir allt mer gränslös, kriminella tjänster säljs och köps, grupperingarna blir allt mer specialiserade och den ekonomiska brottsligheten mer raffinerad. Parallellt med denna utveckling ökar våldet, uppgörelser blir bara vanligare och vanligare. Vi har sett flera mord i Göteborg de senaste veckorna. Vi såg det i Stockholm i natt. Utvecklingen, visar rapporten, är skrämmande. Fler personer än någonsin tidigare är beredda att använda våld, samtidigt som våldet blir grövre. Tillgången till vapen blir allt vanligare i dessa kretsar. Gamla militära automatgevär är på drift. Så kallade konverterade skjutvapen har blivit populära. Vapensmugglingen från framförallt Balkan fortsätter. Om motivet till  mordet på den 27-årig mannen Det kan vara en personlig, plötsligt uppflammande konflikt. Heder och måttlig impulskontroll är inga oväsentliga begrepp i detta sammanhang. Om så är fallet är risken för hämndaktioner och en ond spiral betydande. Vanligt, enligt rapporten, är att uppgörelserna är resultatet av affärsmässig karaktär. Inte minst konkurrens om en lokal narkotikamarknad kan utlösa våld. Det kan röra sig om ett lån som inte har betalats tillbaka. 27-åringen ska enligt en vän ha haft en skuld på 400 000 kronor.  Vad som än kan tänkas ligga bakom skotten i garaget i natt så finns det ingen anledning att förvånas över att offret hade kopplingar till den kriminella organisation som har störst nationell spridning. Hells Angels är det kriminella gäng som har funnits längst i Sverige och är med 14 fullvärdiga avdelningar runt om i landet det mest stabila av de brottsliga mc-gängen. Det innebär även att det finns fiender. I rapporten uttrycker, inte helt överraskande, polisen bekymmer över de kriminella mc-grupperna. De samverkar allt mer över tidigare gränser. Redan medlemmarnas närvaro på olika orter skapar osäkerhet, då deras västar signalerar våldskapital. Att yngre provmedlemmar tvingas begå grövre och grövre brott för att tas upp i gemenskapen är inte heller det en trevlig utveckling. Rapporten ligger till grund för polisens prioriteringar under kommande år. Samarbetet med andra myndigheter som inleddes för några år sedan, och som varit framgångsrikt, ska intensifieras. Kraftfulla insatser ska riktas mot utsatta områden och ett nytt IT-brottscentra ska inrättas. Det är svårt att bekämpa den organiserade brottsligheten, men alls inte omöjligt. Uthållighet är nyckelordet.  ",07,maj,2015,https://www.aftonbladet.se/nyheter/kolumnister/a/BJzjz9/svart-att-bekampa-gangvaldet--men-inte-omojligt
1739, 23 december 2014 kl. 10.21,Morddömd inte psyksjuk,"Det framgår av ett utlåtande från Rättsmedicinalverket i Göteborg som har undersökt mannen. Helsingborgs tingsrätt har redan förklarat att mannen är skyldig till mord. Kammaråklagare Carolina Diaz Bernal kommer att yrka på livstids fängelse när rättegången avslutas på tisdag nästa vecka. Femtiosexåringen bröt sig in hos offret, överföll henne i sovrummet, tog strypgrepp och stack ihjäl henne med en kniv. Kvinnan hade dessförinnan lyckats larma polisen och tidigare samma dag ansökt om kontaktförbud för gärningsmannen. ",23,december,2014,https://www.aftonbladet.se/senastenytt/ttnyheter/inrikes/a/qn3g9w/morddomd-inte-psyksjuk
1740, 26 augusti 2015 kl. 18.14,Stjärnadvokater tar plats i rutan,"I programmet Brottscentralen får vi följa med live i polisens intensiva arbete med det senaste dygnets brott. Polis och utredare tar aktivt hjälp av tittarna för att att hitta gärningsmän och komma närmare lösningen i dagsaktuella fall. Vilka brott som tas upp påverkas av tittarna. Lennart Ekdal Under hösten får teamet uppbackning av stjärnadvokaterna  I höst kombinerar Johan Eriksson arbetet i Sveriges rättssalar med att kommentera brott i Brottscentralen. Leif Silbersky är ett nytt ansikte i Brottscentralen, men han är knappast ny i sammanhanget. Efter över 50 år som advokat har de kända fallen radat upp sig. Trustorhärvan, diskoteksbranden i Göteborg, Sigvard Marjasin och Hagamannen är några av de stora mediala fall där Leif Silbersky medverkat. Att informera om hur rättsväsendet fungerar är en viktig fråga för Leif Silbersky. ",26,augusti,2015,https://www.aftonbladet.se/nyheter/krim/a/21bJ9v/stjarnadvokater-tar-plats-i-rutan
1741, 07 oktober 2014 kl. 14.45,Tolv åtalas efter internt gängkrig,Tisdagens åtal vid Göteborgs tingsrätt kommer att följas av ytterligare två under onsdagen. Då gäller det den nu åtalades bror som också misstänks för försök till mord samt tio andra medlemmar av nätverket som anklagas för att ha misshandlat en tredje broder. ,07,oktober,2014,https://www.aftonbladet.se/senastenytt/ttnyheter/inrikes/a/0ErXPJ/tolv-atalas-efter-internt-gangkrig
1742, 12 november 2014 kl. 10.16,Bekanta till död man gripna för mord,"De två männen, födda 1942 och 1962, har varit anhållna i sin frånvaro. Mycket mer än så vill polisen inte säga om fallet i nuläget. ",12,november,2014,https://www.aftonbladet.se/senastenytt/ttnyheter/inrikes/a/6n5MWo/bekanta-till-dod-man-gripna-for-mord
1743, 12 november 2014 kl. 08.40,NULL,"Två män har gripits skäligen misstänkta för mord på en man i 50-årsåldern. Kroppen påträffades i en lägenhet på Hisingen i Göteborg i tisdags förra veckan, uppger polisen på sin hemsida. De två männen, födda 1942 och 1962, har varit anhållna i sin frånvaro. Enligt polisen kände offer och misstänkta gärningsmän varandra sedan tidigare. ",12,november,2014,https://www.aftonbladet.se/nyheter/a/Mg92n5/hittades-dod-i-lagenhet--tva-gripna
1744, 19 mars 2015 kl. 15.30,Kriminella gäng får aldrig slippa undan," De slåss om makten i Biskopsgården. En liten grupp gangsters - kanske 30-40 stycken - har satt skräck i en hel stadsdel. Tryggheten är borta och det drabbar varenda invånare i stadsdelen Biskopsgården på Hisingen i  Göteborg Gårdagskvällens skjutning i Biskopsgården var inte bara en uppgörelse mellan kriminella. Den var en attack på samhället och ska betraktas precis så allvarligt. När de två gärningsmännen klev in i restaurangen på Vårväderstorget med automatvapen, då sköt de inte bara mot eventuella fiender. De sköt mot alla. En av de dödade var 20-årige Petar Petrovic som bara var där för att köpa hämtmat. Han var egentligen redan på väg därifrån, väntade bara på sin kompis som var på toaletten. På presskonferensen konstaterade regionchefen Klas Friberg på polisen i Västra Götaland att dådet var kallt och helt utan känslor för medmänniskor. Två män sköts ihjäl, en ung man har livshotande skador, ytterligare tre är allvarligt skadade, totalt vårdas åtta personer på sjukhus. Det spekuleras i kopplingar till trippelmordet i Uddevalla nyligen där en ung kvinna dödades bara för att hon bevittnat de andra morden. Det är givetvis viktigt att skyldiga gärningsmän grips, åtalas och döms. De måste hållas personligen ansvariga, gängkriminalitet kan aldrig avfärdas som någon diffus, svart sida av samhället där andra lagar gäller. Tillgången på vapen måste stoppas. Tullen och Kustbevakningen behöver ökade resurser för att kunna kraftsamla mot vapensmugglingen. Slutligen - och alltid - handlar det om att stoppa nyrekryteringen till brottslig verksamhet. Det gäller såväl värvningen till kriminella gäng som rekryteringen till internationell terror i IS. Det uppstår alltid en hätsk debatt varje gång vi skriver om behovet av fritidsgårdar. Men när trångboddheten är stor och ekonomin dålig behöver unga människor andra alternativ än kriminalitet. Ett starkt och säkert samhälle håller ihop mot brottslighet och fångar in dem som hamnat på glid innan det är för sent. ",19,mars,2015,https://www.aftonbladet.se/ledare/a/7lj95W/kriminella-gang-far-aldrig-slippa-undan
1745, 09 mars 2015 kl. 10.24,Trippelmordet i Uddevalla  - detta har hänt,"  Uddevalla Området spärras av och under morgonen anländer rättsläkaren till platsen och man reser upp vita tält på platsen för att kunna arbeta med teknisk undersökning och identifiering av offren. Ett stort antal polisen arbetar med fallet.       Samtidigt hölls en minnesceremoni för en av de döda, 22-årige Rawand Aziz, i en moské i staden.    Tingsrätten anser att de mordmisstänkta brödernas begärda advokater är jäviga, då de tidigare även har försvarat offren. Bröderna förhörs. Obduktionen av de dödas kroppar påbörjas och resultaten från den tekniska undersökningen av brottsplatsen börjar komma in.  De båda bröderna häktas på sannolika skäl misstänkta för mord.         ",09,mars,2015,https://www.aftonbladet.se/nyheter/a/Rx4J7r/trippelmordet-i-uddevalla-detta-har-hant
1746, 12 november 2014 kl. 09.04,Två anhållna för mord på bekant,"Polisen kallades till en lägenhet på centrala Hisingen på tisdagen i förra veckan och där hittades en man i 50-årsåldern död. Vilka fynd som gjordes vid undersökningen av kroppen vill han inte säga något om. Polisen började utreda dödsfallet och under gårdagen greps två män, en i 70-årsåldern och en i 50-årsåldern, misstänkta för mord alternativt dråp. De var sedan tidigare anhållna i sin frånvaro. Offret och de två misstänkta är bekanta med varandra sedan tidigare. Varför de båda männen misstänks för dådet vill han inte kommentera. Polisen är mycket förtegen och lämnar ingen ytterligare information i nuläget. ",12,november,2014,https://www.aftonbladet.se/nyheter/a/4drK1V/tva-anhallna-for-mord-pa-bekant
1747, 02 februari 2015 kl. 13.13,NULL,"Så var det dags för  nya rubriker om den grova brottsligheten Det selektiva urval av nyheter om den skånska metropolen som medier ägnar sig åt och som i allra högsta grad har bidragit till att skapa bilden av Sveriges kriminella huvudstad lämnar dock en hel del övrigt att önska. Förra veckan berättade Malmö stad att den anmälda brottsligheten i staden har sjunkit  för femte året i rad Hur mottogs då denna intressanta, för att inte säga uppseendeväckande, utveckling av tidningar, radio och tv? Toppade nyheten lokalpressens sajter den eftermiddagen? Skickade drakarna från Stockholm team till Rosengård för att reda ut vad som pågår? Satt förståsigpåare i morgonsoffor och debattprogram och välkomnade trenden men höjde ett varnande finger för att minskad anmälningsbenägenhet inte nödvändigtvis innebär att brottsligheten har sjunkit? blogg Den sammanlagda rapporteringen om de färska siffrorna inskränkte sig till en notis i Sydsvenskan. Nej, jag försöker inte bagatellisera lördagens dödsskjutning. Inte heller försöker jag hävda att Malmö är ett paradis. En stad som för bara något år sedan tvingades kalla in polisiär förstärkning från andra delar av landet för att få ett stopp på den våg av mord och annat grovt våld som drabbade samhället saknar inte problem. Förra årets sprängattentat mot tingsrätten bär terrorismens prägel. Listan på grova brott i rikets tredje stad går att göra längre. Men antalet mord är, sett över tid, jämnt fördelat över hela landet. Och även om det finns organiserad brottslighet som har vuxit sig stark i delar av Malmö så är situationen värre i Stockholms södra delar samt delar av nordöstra Göteborg, enligt en rapport som rikskriminalens underrättelsetjänst offentliggjorde i oktober förra året. Den långt ifrån nyanserade rapporteringen leder till problem. Dels uppger en majoritet av Malmös befolkning i undersökningar att de tror att brottsligheten ökar, trots att den av allt att döma sjunker. Många är överdrivet oroliga av ett enda skäl, nämligen att medier sviker sitt folkbildande uppdrag. Malmö är inte den svenska journalistikens främsta disciplin.       ",02,februari,2015,https://www.aftonbladet.se/nyheter/kolumnister/a/OnlVpq/malmo-ar-inte-alls-sveriges-chicago
1748, 09 mars 2015 kl. 16.07,Försvarare byts ut i Uddevallamord,"Tingsrätten i  Uddevalla Han har även försvarat båda de mordmisstänkta bröderna i ett narkotikamål. Nya försvarare blir Göteborgsadvokaterna Rolf Skårman och Hans Gaestadius. Hans Gaestadius uppger för Aftonbladet vid 16.30-tiden på måndagseftermiddagen att han är på väg för att träffa den andre mannen. Morden inträffade natten till i lördags. Två män och en kvinna sköts till döds i Uddevalla. Göteborgs-Posten skriver på nätet att en obetald skuld kan ha varit motivet till att de tre unga personerna mördades i Uddevalla i lördags. Under måndagen har ytterligare en rad förhör hållits, bland annat med de två misstänkta männen. Polisen arbetar också med att analysera de förhör som hållits under helgen. Senast onsdag klockan 12 måste han bestämma om de två anhållna ska begäras häktade. ",09,mars,2015,https://www.aftonbladet.se/nyheter/a/6n5m33/forsvarare-byts-ut-i-uddevallamord
1749, 09 oktober 2014 kl. 16.44,Inför rätta för mordförsök i bil,"30-åringen satt i sin bil då han besköts och klarade livet trots svåra skador av de tolv skott som avlossades, enligt åtalet. Strax efter dådet anhölls fyra unga män för skjutningen. Ytterligare en av dem åtalas nu, men för medhjälp till försök till mord. ",09,oktober,2014,https://www.aftonbladet.se/senastenytt/ttnyheter/inrikes/a/0Erk0J/infor-ratta-for-mordforsok-i-bil
1750, 30 oktober 2014 kl. 13.18,Sju år för skott efter skuld,"På torsdagen dömdes han i Göteborg till 7,5 års fängelse för dråp. Att han hävdade att han dödat i nödvärn ändrade inte mycket, när Göteborgs tingsrätt formulerade sin dom. Mannen dömdes för dråp, inte mord som åklagaren krävt, och av de åtta års fängelse som en dråpdom brukar ge, försvann ett halvår. I övrigt gick beskrivningarna av vad som hände i dörröppningen till lägenheten i Majorna i maj i år, vitt i sär. Åklagaren hävdade att det handlade om en knarkskuld på 4 000 kronor som skulle regleras och att den nu dömde hade med sig pistolen och sedan använde den. Den åtalade beskrev hur han knackat på och mötts av en man som var beväpnad med kniv, pistol och kedja och som gick till blodig attack direkt. I tumultet fick den attackerade kontroll över vapnet och sköt i vad han ansåg var självförsvar tre skott. Ett av dem var dödande. ",30,oktober,2014,https://www.aftonbladet.se/senastenytt/ttnyheter/inrikes/a/6n5eBO/sju-ar-for-skott-efter-skuld
1751, 15 mars 2015 kl. 21.42,Stor polisinsats vid Vilksmöte,"En stor polisinsats kommer att bevaka en föreläsning han ska hålla i Karlstad. Föreläsningen på måndagen blir hans första framträdande i Sverige sedan terrorattacken i Danmark i februari då två personer mördades och fem poliser skadades. I lördags tog Vilks emot ett pris i Danmark av organisationen Trykkefrihedsselskabet. I Karlstad ska han hålla en föreläsning under temat Charlie Hebdo och yttrandefrihetens gränser. Den var först tänkt att hållas på universitetet, men därifrån blev det nej eftersom säkerheten inte kunde garanteras. I stället ska den nu hållas på Gamla Wermlandsbanken. Senast Vilks var i Karlstad kastade åhörare ägg mot honom. Lars Vilks har levt under dödshot i flera år efter att ha porträtterat profeten Muhammed som rondellhund. En stor polisinsats kommer att bevaka dagens föreläsning, men hur många som deltar i den vill polisen inte berätta. ",15,mars,2015,https://www.aftonbladet.se/senastenytt/ttnyheter/inrikes/a/7ljX1W/stor-polisinsats-vid-vilksmote
1752, 10 oktober 2014 kl. 11.56,22-åring häktad för knivdöd,Anledningen till att rubriceringen ändrats var mannens uppgift att han inte haft för avsikt att döda. För en vecka sedan greps två andra ungdomar misstänkta för medhjälp. De släpptes senare på fri fot. ,10,oktober,2014,https://www.aftonbladet.se/senastenytt/ttnyheter/inrikes/a/yv9bXa/22-aring-haktad-for-knivdod
